name,model,tag,category,keep,shift_needed_2h,scenario1
DE_wind_offshore_forecast,all,input,fundamental,yes,,x
DE_wind_offshore_diff,all,input,fundamental,yes,x,x
DE4_load_actual,DE4,input,fundamental,yes,x,x
DE4_load_forecast,DE4,input,fundamental,yes,,x
DE4_load_diff,DE4,input,fundamental,yes,x,x
DE4_solar_actual,DE4,input,fundamental,yes,x,x
DE4_solar_forecast,DE4,input,fundamental,yes,,x
DE4_solar_diff,DE4,input,fundamental,yes,x,x
DE4_wind_onshore_actual,DE4,input,fundamental,yes,x,x
DE4_wind_onshore_forecast,DE4,input,fundamental,yes,,x
DE4_wind_onshore_diff,DE4,input,fundamental,yes,x,x
DE4_wind_offshore_actual,DE4,input,fundamental,yes,x,x
DE4_wind_offshore_forecast,DE4,input,fundamental,yes,,x
DE4_wind_offshore_diff,DE4,input,fundamental,yes,x,x
DE2_load_actual,DE2,input,fundamental,yes,x,x
DE2_load_forecast,DE2,input,fundamental,yes,,x
DE2_load_diff,DE2,input,fundamental,yes,x,x
DE2_solar_actual,DE2,input,fundamental,yes,x,x
DE2_solar_forecast,DE2,input,fundamental,yes,,x
DE2_solar_diff,DE2,input,fundamental,yes,x,x
DE2_wind_onshore_actual,DE2,input,fundamental,yes,x,x
DE2_wind_onshore_forecast,DE2,input,fundamental,yes,,x
DE2_wind_onshore_diff,DE2,input,fundamental,yes,x,x
DE2_wind_offshore_actual,DE2,input,fundamental,yes,x,x
DE2_wind_offshore_forecast,DE2,input,fundamental,yes,,x
DE2_wind_offshore_diff,DE2,input,fundamental,yes,x,x
DE3_load_actual,DE3,input,fundamental,yes,x,x
DE3_load_forecast,DE3,input,fundamental,yes,,x
DE3_load_diff,DE3,input,fundamental,yes,x,x
DE3_solar_actual,DE3,input,fundamental,yes,x,x
DE3_solar_forecast,DE3,input,fundamental,yes,,x
DE3_solar_diff,DE3,input,fundamental,yes,x,x
DE3_wind_onshore_actual,DE3,input,fundamental,yes,x,x
DE3_wind_onshore_forecast,DE3,input,fundamental,yes,,x
DE3_wind_onshore_diff,DE3,input,fundamental,yes,x,x
DE3_wind_offshore_actual,DE3,input,fundamental,yes,x,x
DE3_wind_offshore_forecast,DE3,input,fundamental,yes,,x
DE3_wind_offshore_diff,DE3,input,fundamental,yes,x,x
DE1_load_actual,DE1,input,fundamental,yes,x,x
DE1_load_forecast,DE1,input,fundamental,yes,,x
DE1_load_diff,DE1,input,fundamental,yes,x,x
DE1_solar_actual,DE1,input,fundamental,yes,x,x
DE1_solar_forecast,DE1,input,fundamental,yes,,x
DE1_solar_diff,DE1,input,fundamental,yes,x,x
DE1_wind_onshore_actual,DE1,input,fundamental,yes,x,x
DE1_wind_onshore_forecast,DE1,input,fundamental,yes,,x
DE1_wind_onshore_diff,DE1,input,fundamental,yes,x,x
DE1_wind_offshore_actual,DE1,input,fundamental,yes,x,x
DE1_wind_offshore_forecast,DE1,input,fundamental,yes,,x
DE1_wind_offshore_diff,DE1,input,fundamental,yes,x,x
VWAP_90to105_lag_24h,all,input,price_lag,yes,,x
VWAP_90to105_lag_48h,all,input,price_lag,yes,,x
VWAP_90to105_lag_168h,all,input,price_lag,yes,,x
Dayahead_Auction_hourly_lag_24h,all,input,price_lag,yes,,x
Dayahead_Auction_hourly_lag_48h,all,input,price_lag,yes,,x
Dayahead_Auction_hourly_lag_168h,all,input,price_lag,yes,,x
intraday_auction_price_lag_24h,all,input,price_lag,yes,,x
intraday_auction_price_lag_48h,all,input,price_lag,yes,,x
intraday_auction_price_lag_168h,all,input,price_lag,yes,,x
